id,code,is_season,event_category_id,name,name_translation_id,description,description_translation_id,comment,comment_translation_id
76,feast.st._catherine,0,6,Αγία Αικατερίνη,126,Αγία Αικατερίνη,0,none,0
77,feast.st._andrew_the_apostle,0,6,Άγιος Ανδρέας ο Απόστολος,127,Άγιος Ανδρέας ο Απόστολος,0,none,0
78,feast.st._barbara,0,6,Αγία Βαρβάρα,128,Αγία Βαρβάρα,0,none,0
79,feast.st._savvas,0,6,Άγιος Σάββας,129,Άγιος Σάββας,0,none,0
80,feast.st._nicholas,0,6,Άγιος Νικόλαος,130,Άγιος Νικόλαος,0,none,0
81,feast.st._spyridon,0,6,Άγιος Σπυρίδων,131,Άγιος Σπυρίδων,0,none,0
82,feast.st._eleftherios,0,6,Άγιος Ελευθέριος,132,Άγιος Ελευθέριος,0,none,0
83,feast.st._dionysios_of_zakynthos,0,6,Άγιος Διονύσιος Ζακύνθου,133,Άγιος Διονύσιος Ζακύνθου,0,none,0
85,feast.st._ignatius_gold-bearer,0,6,Άγιος Ιγνάτιος ο Θεοφόρος,134,Άγιος Ιγνάτιος ο Θεοφόρος,0,none,0
86,feast.st._anastasia_the_pharmakolytria,0,6,Αγία Αναστασία η Φαρμακολύτρια,135,Αγία Αναστασία η Φαρμακολύτρια,0,none,0
87,feast.st._eugenia,0,6,Αγία Ευγενία,136,Αγία Ευγενία,0,none,0
88,feast.nativity_of_christ_(christmas),0,3,Γέννηση του Χριστού (Χριστούγεννα),137,Γέννηση του Χριστού (Χριστούγεννα),0,none,0
89,feast.synaxis_of_the_most_holy_theotokos,0,10,Σύναξη της Υπεραγίας Θεοτόκου,50,Σύναξη της Υπεραγίας Θεοτόκου,51,none,0
90,feast.st._stephen,0,6,Άγιος Στέφανος,138,Άγιος Στέφανος,0,none,0
91,feast.christmastide,0,10,Δωδεκαήμερο,139,Δωδεκαήμερο,142,none,0
92,feast.sundayofpublicanandpharisee,1,9,Κυριακή του Τελώνου και του Φαρισαίου,48,Κυριακή του Τελώνου και του Φαρισαίου,49,none,0
93,feast.soulsaturday,1,18,Ψυχοσάββατο,65,Ψυχοσάββατο,66,none,0
94,feast.greekrevolution,0,22,Ελληνική Επανάσταση,73,Ελληνική Επανάσταση,74,none,0
